commit	file	test	start	end	new	classes	sources	subjects	subject_witnesses	destinations	impact	evidence	bindings	needles
1f1d2daa	src/main.rs	pty_drain_budget_tests::the_caret_is_revealed_when_output_arrives_and_not_when_it_is_drawn	113842	113860	NEW	"[""named body / positive requirement"", ""arity / uniqueness""]"	"[""include_str!(\""main.rs\"")""]"	"[""drain_pty""]"	"{""drain_pty"": [{""symbol"": ""impl Runtime<'_>::drain_pty"", ""start"": 85585, ""end"": 85941, ""moves"": true}]}"	"{""drain_pty"": ""runtime/terminal.rs""}"	subject moves: retarget atomically	parsed dependency closure; inferred classification; see test body	"[""src/main.rs:113665 pty_drain_budget_tests::SOURCE""]"	"[""\""drain_pty\"""", ""\""self.reset_cursor_blink(now)\"""", ""\""the drain reveals the caret on output\"""", ""\""coalesce::decide(\"""", ""\""the drain decides when to publish\"""", ""\""the caret is reset on arrival, before anything decides when to draw\"""", ""\""self.reset_cursor_blink(now)\"""", ""\""once per turn and on one road: a second reset is a caret whose \\\n             blink phase depends on which branch drew it\""""]"
1f1d2daa	src/main.rs	pty_drain_budget_tests::the_bounded_publication_wait_is_armed_settled_released_and_woken_once_each	113892	113933	NEW	"[""named body / positive requirement"", ""arity / uniqueness""]"	"[""include_str!(\""main.rs\"")""]"	"[""drain_pty"", ""finish_pty_coalesce_if_due"", ""publish_frame_inner"", ""turn""]"	"{""drain_pty"": [{""symbol"": ""impl Runtime<'_>::drain_pty"", ""start"": 85585, ""end"": 85941, ""moves"": true}], ""finish_pty_coalesce_if_due"": [{""symbol"": ""impl Runtime<'_>::finish_pty_coalesce_if_due"", ""start"": 85950, ""end"": 85960, ""moves"": true}], ""publish_frame_inner"": [{""symbol"": ""impl Runtime<'_>::publish_frame_inner"", ""start"": 67749, ""end"": 68077, ""moves"": true}], ""turn"": [{""symbol"": ""impl Runtime<'_>::turn"", ""start"": 106407, ""end"": 107179, ""moves"": true}]}"	"{""drain_pty"": ""runtime/terminal.rs"", ""finish_pty_coalesce_if_due"": ""runtime/terminal.rs"", ""publish_frame_inner"": ""runtime/frame.rs"", ""turn"": ""runtime/frame.rs""}"	subject moves: retarget atomically	parsed dependency closure; inferred classification; see test body	"[""src/main.rs:113665 pty_drain_budget_tests::SOURCE""]"	"[""\""drain_pty\"""", ""\""coalesce::decide(\"""", ""\""the drain is where a turn's picture is deferred or published\"""", ""\""self.window.pty_coalesce.until = Some(until);\"""", ""\""and the deferral is written down where the loop's fold can find it\"""", ""\""pty_coalesce.{}\"""", ""\""settle();\"""", ""\""publish_frame_inner\"""", ""\""every publish comes through this door, so the debt is settled at it\"""", ""\""one settle and no other: a second one is a caller taking on a \\\n             responsibility the door already has, and a third is the one that \\\n             will be forgotten\"""", ""\""turn\"""", ""\""self.finish_pty_coalesce_if_due(now)\"""", ""\""a wait that has run out is paid on the very next turn, whatever woke it\"""", ""\""finish_pty_coalesce_if_due\"""", ""\""self.window.pty_coalesce.until = None;\"""", ""\""and paying it disarms it, before anything can fail on the way to the glass\"""", ""\""\\n            self.window.pty_coalesce.until,\\n\"""", ""\""the deadline stands in the window's fold, which is what books the \\\n             wake that pays it\""""]"
1f1d2daa	src/main.rs	pty_drain_budget_tests::the_drain_marks_each_sessions_turn_once_for_any_slice_count	113988	114026	NEW	"[""named body / positive requirement"", ""arity / uniqueness""]"	"[""include_str!(\""main.rs\"")""]"	"[""begin"", ""drain_pty""]"	"{""begin"": [{""symbol"": ""impl Ask::begin"", ""start"": 8689, ""end"": 8694, ""moves"": false}, {""symbol"": ""impl PaneMotion::begin"", ""start"": 28243, ""end"": 28272, ""moves"": false}, {""symbol"": ""clipboard_path_tests::impl ClipboardPort for MemoryClipboard::begin"", ""start"": 128890, ""end"": 128892, ""moves"": false}], ""drain_pty"": [{""symbol"": ""impl Runtime<'_>::drain_pty"", ""start"": 85585, ""end"": 85941, ""moves"": true}]}"	"{""drain_pty"": ""runtime/terminal.rs""}"	subject moves: retarget atomically	parsed dependency closure; inferred classification; see test body	"[""src/main.rs:113665 pty_drain_budget_tests::SOURCE""]"	"[""\""begin\"""", ""\""end\"""", ""\""slice\"""", ""\""feed failed\"""", ""\""begin\"""", ""\""end\"""", ""\""begin\"""", ""\""end\"""", ""\""slice\"""", ""\""drain_pty\"""", ""\""in_drain_feed_turn(\"""", ""\""let pending = loop {\"""", ""\""leaf.session.begin_feed_turn()\"""", ""\""leaf.session.end_feed_turn();\"""", ""\""let pending = drain_result?;\""""]"
1f1d2daa	src/main.rs	pty_drain_budget_tests::the_drain_repeats_under_the_budget_and_settles_up_once	114046	114068	NEW	"[""named body / positive requirement"", ""arity / uniqueness""]"	"[""include_str!(\""main.rs\"")""]"	"[""drain_pty""]"	"{""drain_pty"": [{""symbol"": ""impl Runtime<'_>::drain_pty"", ""start"": 85585, ""end"": 85941, ""moves"": true}]}"	"{""drain_pty"": ""runtime/terminal.rs""}"	subject moves: retarget atomically	parsed dependency closure; inferred classification; see test body	"[""src/main.rs:113665 pty_drain_budget_tests::SOURCE""]"	"[""\""drain_pty\"""", ""\""drain_may_take_another_slice(\"""", ""\""`drain_pty` asks the budget whether it may go round again\"""", ""\""drain_tab_pty(\"""", ""\""one call site, inside the budgeted loop; a second is a road round it\"""", ""\""deliver_osc_attention(\"""", ""\""`drain_pty` delivers what the panes said\"""", ""\""the passes finish before anything is done about what they heard\"""", ""\""slice_pending |= outcome.pending;\"""", ""\""and what decides another pass is the leftover this pass found, not \\\n             the leftover the turn has accumulated\""""]"
1f1d2daa	src/main.rs	pty_drain_budget_tests::a_pane_that_spoke_puts_its_own_card_on_the_clock	114084	114123	existing	"[""named body / positive requirement""]"	"[""include_str!(\""main.rs\"")""]"	"[""collecting_card_speakers"", ""drain_pty"", ""panes_spoke""]"	"{""collecting_card_speakers"": [{""symbol"": ""impl Runtime<'_>::collecting_card_speakers"", ""start"": 86039, ""end"": 86041, ""moves"": true}], ""drain_pty"": [{""symbol"": ""impl Runtime<'_>::drain_pty"", ""start"": 85585, ""end"": 85941, ""moves"": true}], ""panes_spoke"": [{""symbol"": ""impl Runtime<'_>::panes_spoke"", ""start"": 86058, ""end"": 86067, ""moves"": true}]}"	"{""collecting_card_speakers"": ""runtime/focus.rs"", ""drain_pty"": ""runtime/terminal.rs"", ""panes_spoke"": ""runtime/panes.rs""}"	subject moves: retarget atomically	parsed dependency closure; inferred classification; see test body	"[""src/main.rs:113665 pty_drain_budget_tests::SOURCE""]"	"[""\""drain_pty\"""", ""\""spoke.push(index)\"""", ""\""`drain_pty` notes which tabs spoke\"""", ""\""self.panes_spoke(\"""", ""\""`drain_pty` says that those panes' pictures moved\"""", ""\""the speakers are gathered before anybody is told about them\"""", ""\""outcome.arrived {\"""", ""\""and the fact it is keyed to is bytes reaching a screen, which is what \\\n             moves the damage key the card is drawn against\"""", ""\""self.collecting_card_speakers()\"""", ""\""a window outside the mode, and one already owed a frame, gather \\\n             nothing at all\"""", ""\""collecting_card_speakers\"""", ""\""self.window.focus_mode && !self.window.cards.owes_frame()\"""", ""\""and that is what those two words mean\"""", ""\""panes_spoke\"""", ""\""card_is_in_view\"""", ""\""the one function asks whether any of them has a card on screen\"""", ""\""cards.pane_spoke()\"""", ""\""and puts the card column on the clock\"""", ""\""the speakers are filtered by what is on screen, and only then is a \\\n             frame owed\""""]"
1f1d2daa	src/main.rs	pty_drain_budget_tests::the_tick_that_draws_the_cards_is_reached_when_a_card_is_behind	114146	114165	existing	"[""named body / positive requirement""]"	"[""include_str!(\""main.rs\"")""]"	"[""advance_strip_animation""]"	"{""advance_strip_animation"": [{""symbol"": ""impl Runtime<'_>::advance_strip_animation"", ""start"": 86312, ""end"": 86631, ""moves"": true}]}"	"{""advance_strip_animation"": ""runtime/preview.rs""}"	subject moves: retarget atomically	parsed dependency closure; inferred classification; see test body	"[""src/main.rs:113665 pty_drain_budget_tests::SOURCE""]"	"[""\""advance_strip_animation\"""", ""\""let cards_owe = self.window.cards.owes_frame();\"""", ""\""the tick asks whether a card is behind its pane\"""", ""\""let owes_frame = owes_frame || pictures_owe || cards_owe;\"""", ""\""and folds it in beside the animations' own debts\"""", ""\""if !owes_frame && !panes_owe {\"""", ""\""which is the gate that decides whether this tick does anything\"""", ""\""self.refresh_chrome()\"""", ""\""and `refresh_chrome` is what is behind it\"""", ""\""the card's debt is read, folded, and only then does the gate stand \\\n             between the tick and the pass that draws the cards\""""]"
1f1d2daa	src/main.rs	pty_drain_budget_tests::the_frame_schedule_knows_about_the_card_column	114179	114204	CHANGED	"[""named body / positive requirement""]"	"[""include_str!(\""main.rs\"")""]"	"[""refresh_focus_thumbnails"", ""strip_animation_work""]"	"{""refresh_focus_thumbnails"": [{""symbol"": ""impl Runtime<'_>::refresh_focus_thumbnails"", ""start"": 97541, ""end"": 97788, ""moves"": true}], ""strip_animation_work"": [{""symbol"": ""impl Runtime<'_>::strip_animation_work"", ""start"": 86978, ""end"": 87238, ""moves"": true}]}"	"{""refresh_focus_thumbnails"": ""runtime/focus.rs"", ""strip_animation_work"": ""runtime/preview.rs""}"	subject moves: retarget atomically	parsed dependency closure; inferred classification; see test body	"[""src/main.rs:113665 pty_drain_budget_tests::SOURCE""]"	"[""\""strip_animation_work\"""", ""\""self.window.cards.owes_frame()\"""", ""\""nothing wakes the loop for a card that is behind its pane\"""", ""\""|| cards_behind\"""", ""\""the reading is taken and then dropped: the fold never asks for the frame\"""", ""\""refresh_focus_thumbnails\"""", ""\""let gates_before = self.window.focus_thumbs.stats()\"""", ""\""the pass reads the gates before it spends them\"""", ""\"".settled(gates_before, self.window.focus_thumbs.stats())\"""", ""\""the pass settles the clock against the gates\"""", ""\""the debt is settled against what this pass did, not against a total\"""", ""\""cards.nothing_to_draw()\"""", ""\""and a window with no column on screen carries no debt out of the mode\""""]"
1f1d2daa	src/main.rs	pty_drain_budget_tests::a_focus_report_is_never_spelled_where_a_keystroke_could_reach_it	114258	114289	existing	"[""named body / positive requirement"", ""whole-source prohibition""]"	"[""include_str!(\""main.rs\"")""]"	"[""drain_leaf_pty""]"	"{""drain_leaf_pty"": [{""symbol"": ""drain_leaf_pty"", ""start"": 37452, ""end"": 37690, ""moves"": false}]}"	{}	coverage changes: preserve union / audit needles	parsed dependency closure; inferred classification; see test body	"[""src/main.rs:113665 pty_drain_budget_tests::SOURCE""]"	"[""\""{escape}x1b[{direction}\"""", ""\""`{spelling}` is `bt-term`'s to write; spelling it here is the \\\n                 first half of sending it as user input\"""", ""\""drain_leaf_pty\"""", ""\""feed_at(\"""", ""\""`drain_leaf_pty` feeds what the child said\"""", ""\""set_keyboard_focus(\"""", ""\""`drain_leaf_pty` tells its pane where the keyboard is\"""", ""\""take_pty_writes()\"""", ""\""`drain_leaf_pty` collects the replies its session owes\"""", ""\""the mode the report is gated on arrives with the child's own bytes\"""", ""\""and what it queues is collected on the same turn, or a background \\\n             pane waits for an unrelated wake to be told it is in the background\""""]"
1f1d2daa	src/main.rs	pty_drain_budget_tests::the_window_thread_sends_a_child_bytes_through_exactly_one_door	114312	114353	CHANGED	"[""named body / positive requirement"", ""arity / uniqueness""]"	"[""include_str!(\""main.rs\"")""]"	"[""offer_pty_input"", ""write_pty_input""]"	"{""offer_pty_input"": [{""symbol"": ""offer_pty_input"", ""start"": 19233, ""end"": 19251, ""moves"": false}], ""write_pty_input"": [{""symbol"": ""write_pty_input"", ""start"": 19212, ""end"": 19214, ""moves"": false}]}"	{}	retained subject: no 2a move	parsed dependency closure; inferred classification; see test body	"[""src/main.rs:113665 pty_drain_budget_tests::SOURCE""]"	"[""\""offer_pty_\"""", ""\""input\"""", ""\""PtyError::InputRefused\"""", ""\""the door is the place that knows what a refusal is\"""", ""\""Ok(PtyInput::Refused)\"""", ""\""and it answers a refusal with the window carrying on\"""", ""\""return Err\"""", ""\""a refusal turned back into an `Err` reaches `App::fail` and ends the process over \\\n             one wedged shell\"""", ""\""write_pty_\"""", ""\""input\"""", ""\""(pty, bytes, what).map(drop)\"""", ""\""the forgiving spelling has grown a body of its own, so there are two places that \\\n             know what a refusal is\"""", ""\""\\n#[cfg(test)]\\nmod tests;\"""", ""\""the declaration of this file's big test module\"""", ""\""pty.\"""", ""\""write_with_reason(\"""", ""\""one door in the product, and it is inside `write_pty_input`\"""", ""\""pty.\"""", ""\""write(\"""", ""\""every product write must carry its reason into the input dump\"""", ""\""pty.\"""", ""\""write_with_reason(bytes, what)\""""]"
1f1d2daa	src/main.rs	pty_drain_budget_tests::the_only_road_from_a_solved_rectangle_to_conpty_is_the_quiet_window	114367	114395	CHANGED	"[""named body / positive requirement"", ""scoped negative"", ""arity / uniqueness""]"	"[""include_str!(\""main.rs\"")""]"	"[""release_due_leaf_resize"", ""resize_leaves_to_layout""]"	"{""release_due_leaf_resize"": [{""symbol"": ""release_due_leaf_resize"", ""start"": 19529, ""end"": 19560, ""moves"": false}], ""resize_leaves_to_layout"": [{""symbol"": ""impl Runtime<'_>::resize_leaves_to_layout"", ""start"": 87590, ""end"": 87674, ""moves"": true}]}"	"{""resize_leaves_to_layout"": ""runtime/panes.rs""}"	subject moves: retarget atomically	parsed dependency closure; inferred classification; see test body	"[""src/main.rs:113665 pty_drain_budget_tests::SOURCE""]"	"[""\""commit_leaf_\"""", ""\""resize(\"""", ""\""the commit has one caller in the product, and that caller is the release\"""", ""\""release_due_leaf_resize\"""", ""\""and the release is it\"""", ""\""resize_leaves_to_layout\"""", ""\""a layout solve schedules; it does not commit — the sibling panes committing here \\\n             is the defect this pin exists for\"""", ""\""schedule_leaf_grid_change(\"""", ""\""every unfocused leaf goes through the one scheduler, and the focused leaf reaches \\\n             the same one through `schedule_grid_change`\""""]"
