commit	name	start	end	lines	destination	visibility	evidence	unresolved_callers	callers
1f1d2daa	note_this_window_was_visited	40443	40447	5	runtime/windows.rs	pub(crate)	inferred; minimum for listed candidate callers	1	"[{""file"": ""src/main.rs"", ""line"": 119426, ""symbol"": ""impl ApplicationHandler<AppEvent> for FolioApp::window_event"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.note_this_window_was_visited"", ""evidence"": ""receiver-unresolved""}]"
1f1d2daa	launch_profile	40462	40480	19	runtime/profiles.rs	pub(crate)	inferred; minimum for listed candidate callers	2	"[{""file"": ""src/main.rs"", ""line"": 116977, ""symbol"": ""impl FolioApp::open_a_tab_for_a_launch"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.launch_profile"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 117021, ""symbol"": ""impl FolioApp::open_a_window_for_a_launch"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.launch_profile"", ""evidence"": ""receiver-unresolved""}]"
1f1d2daa	report_launch_refusals	40485	40495	11	runtime/git.rs	pub(crate)	inferred; minimum for listed candidate callers	2	"[{""file"": ""src/main.rs"", ""line"": 116979, ""symbol"": ""impl FolioApp::open_a_tab_for_a_launch"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.report_launch_refusals"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 117026, ""symbol"": ""impl FolioApp::open_a_window_for_a_launch"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.report_launch_refusals"", ""evidence"": ""receiver-unresolved""}]"
1f1d2daa	new_tab	40504	40507	4	runtime/tabs.rs	pub(in crate::runtime)	inferred; minimum for listed candidate callers	0	"[{""file"": ""src/main.rs"", ""line"": 56236, ""symbol"": ""impl Runtime<'_>::run_shortcut"", ""destination"": ""runtime/keyboard.rs"", ""expression"": ""self.new_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 96055, ""symbol"": ""impl Runtime<'_>::chrome_mouse_input"", ""destination"": ""runtime/mouse.rs"", ""expression"": ""self.new_tab"", ""evidence"": ""direct-self""}]"
1f1d2daa	new_tab_with_profile	40535	40551	17	runtime/profiles.rs	pub(crate)	inferred; minimum for listed candidate callers	2	"[{""file"": ""src/main.rs"", ""line"": 40506, ""symbol"": ""impl Runtime<'_>::new_tab"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.new_tab_with_profile"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 73975, ""symbol"": ""impl Runtime<'_>::apply_folder_pick_result"", ""destination"": ""runtime/files.rs"", ""expression"": ""self.new_tab_with_profile"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 80285, ""symbol"": ""impl Runtime<'_>::new_terminal_in_folder"", ""destination"": ""runtime/files.rs"", ""expression"": ""self.new_tab_with_profile"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 96767, ""symbol"": ""impl Runtime<'_>::mouse_input"", ""destination"": ""runtime/mouse.rs"", ""expression"": ""self.new_tab_with_profile"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 116978, ""symbol"": ""impl FolioApp::open_a_tab_for_a_launch"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.new_tab_with_profile"", ""evidence"": ""receiver-unresolved""}, {""file"": ""src/main.rs"", ""line"": 117022, ""symbol"": ""impl FolioApp::open_a_window_for_a_launch"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.new_tab_with_profile"", ""evidence"": ""receiver-unresolved""}]"
1f1d2daa	new_tab_seeded_from	40572	40637	66	runtime/tabs.rs	pub(in crate::runtime)	inferred; minimum for listed candidate callers	0	"[{""file"": ""src/main.rs"", ""line"": 40550, ""symbol"": ""impl Runtime<'_>::new_tab_with_profile"", ""destination"": ""runtime/profiles.rs"", ""expression"": ""self.new_tab_seeded_from"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 77408, ""symbol"": ""impl Runtime<'_>::duplicate_tab"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.new_tab_seeded_from"", ""evidence"": ""direct-self""}]"
1f1d2daa	reveal_tab	40646	40666	21	runtime/tabs.rs	pub(in crate::runtime)	inferred; minimum for listed candidate callers	0	"[{""file"": ""src/main.rs"", ""line"": 40699, ""symbol"": ""impl Runtime<'_>::activate_tab"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.reveal_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 40773, ""symbol"": ""impl Runtime<'_>::toggle_pin"", ""destination"": ""unassigned"", ""expression"": ""self.reveal_tab"", ""evidence"": ""direct-self""}]"
1f1d2daa	activate_tab	40668	40757	90	runtime/tabs.rs	pub(crate)	inferred; minimum for listed candidate callers	1	"[{""file"": ""src/main.rs"", ""line"": 40636, ""symbol"": ""impl Runtime<'_>::new_tab_seeded_from"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 40968, ""symbol"": ""impl Runtime<'_>::reopen_recent"", ""destination"": ""runtime/windows.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 41154, ""symbol"": ""impl Runtime<'_>::answer_restore"", ""destination"": ""runtime/windows.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 41255, ""symbol"": ""impl Runtime<'_>::close_tab"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 56267, ""symbol"": ""impl Runtime<'_>::run_shortcut"", ""destination"": ""runtime/keyboard.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 56396, ""symbol"": ""impl Runtime<'_>::step_tab"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 78281, ""symbol"": ""impl Runtime<'_>::advance_drag_spring"", ""destination"": ""runtime/mouse.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 85547, ""symbol"": ""impl Runtime<'_>::open_from_notification"", ""destination"": ""runtime/attention.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 92373, ""symbol"": ""impl Runtime<'_>::release_tab_press"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 92525, ""symbol"": ""impl Runtime<'_>::begin_tab_drag"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 93736, ""symbol"": ""impl Runtime<'_>::leave_strip"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 94396, ""symbol"": ""impl Runtime<'_>::commit_row_into_new_tab"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 94443, ""symbol"": ""impl Runtime<'_>::commit_row_into_tab"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 94631, ""symbol"": ""impl Runtime<'_>::move_pane_across_tabs"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 95067, ""symbol"": ""impl Runtime<'_>::advance_tab_press_if_due"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 96031, ""symbol"": ""impl Runtime<'_>::chrome_mouse_input"", ""destination"": ""runtime/mouse.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 98916, ""symbol"": ""impl Runtime<'_>::run_palette_row"", ""destination"": ""runtime/palette.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 98929, ""symbol"": ""impl Runtime<'_>::run_palette_row"", ""destination"": ""runtime/palette.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 99082, ""symbol"": ""impl Runtime<'_>::jump_to_attention"", ""destination"": ""runtime/attention.rs"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 107266, ""symbol"": ""impl Runtime<'_>::retire_the_stand_in"", ""destination"": ""unassigned"", ""expression"": ""self.activate_tab"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 117557, ""symbol"": ""impl FolioApp::drive_drag_broker"", ""destination"": ""src/main.rs"", ""expression"": ""runtime.activate_tab"", ""evidence"": ""receiver-unresolved""}]"
1f1d2daa	toggle_pin	40767	40777	11	unassigned	pub(in crate::runtime)	inferred; minimum for listed candidate callers	0	"[{""file"": ""src/main.rs"", ""line"": 77349, ""symbol"": ""impl Runtime<'_>::run_tab_menu_row"", ""destination"": ""runtime/tabs.rs"", ""expression"": ""self.toggle_pin"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 96015, ""symbol"": ""impl Runtime<'_>::chrome_mouse_input"", ""destination"": ""runtime/mouse.rs"", ""expression"": ""self.toggle_pin"", ""evidence"": ""direct-self""}]"
1f1d2daa	reopen_recent	40783	40969	187	runtime/windows.rs	pub(in crate::runtime)	inferred; minimum for listed candidate callers	0	"[{""file"": ""src/main.rs"", ""line"": 56271, ""symbol"": ""impl Runtime<'_>::run_shortcut"", ""destination"": ""runtime/keyboard.rs"", ""expression"": ""self.reopen_recent"", ""evidence"": ""direct-self""}, {""file"": ""src/main.rs"", ""line"": 96770, ""symbol"": ""impl Runtime<'_>::mouse_input"", ""destination"": ""runtime/mouse.rs"", ""expression"": ""self.reopen_recent"", ""evidence"": ""direct-self""}]"
